Sr. No.,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
126,TATAELXSI,Tata Elxsi Limited,3711115
127,DALBHARAT,Dalmia Bharat Limited,3690082
128,HDFCAMC,HDFC Asset Management Company Limited,3644974
129,INDIANB,Indian Bank,3593720
130,ASTRAL,Astral Limited,3591337
131,BHARATFORG,Bharat Forge Limited,3587128
132,LTTS,L&T Technology Services Limited,3567802
133,MRF,MRF Limited,3564562
134,TATACOMM,Tata Communications Limited,3549675
135,NYKAA,FSN E-Commerce Ventures Limited,3543170
136,CONCOR,Container Corporation of India Limited,3535430
137,PERSISTENT,Persistent Systems Limited,3522810
138,PATANJALI,Patanjali Foods Limited,3508454
139,IRFC,Indian Railway Finance Corporation Limited,3476223
140,LINDEINDIA,Linde India Limited,3436826
141,IDFCFIRSTB,IDFC First Bank Limited,3435018
142,PETRONET,Petronet LNG Limited,3432750
143,SOLARINDS,Solar Industries India Limited,3431835
144,SAIL,Steel Authority of India Limited,3415944
145,MPHASIS,MphasiS Limited,3383194
146,HINDPETRO,Hindustan Petroleum Corporation Limited,3359122
147,APLAPOLLO,APL Apollo Tubes Limited,3342807
148,FLUOROCHEM,Gujarat Fluorochemicals Limited,3317690
149,NMDC,NMDC Limited,3269091
150,HONAUT,Honeywell Automation India Limited,3217006
151,SUPREMEIND,Supreme Industries Limited,3192884
152,GUJGASLTD,Gujarat Gas Limited,3163841
153,BANDHANBNK,Bandhan Bank Limited,3153212
154,ACC,ACC Limited,3130789
155,OBEROIRLTY,Oberoi Realty Limited,3063712
156,BANKINDIA,Bank of India,3063312
157,RECLTD,REC Limited,3040057
158,AUROPHARMA,Aurobindo Pharma Limited,3035748
159,STARHEALTH,Star Health and Allied Insurance Company Limited,3014834
160,IGL,Indraprastha Gas Limited,3000903
161,LUPIN,Lupin Limited,2950099
162,UCOBANK,UCO Bank,2905298
163,JUBLFOOD,Jubilant Foodworks Limited,2903979
164,POLICYBZR,PB Fintech Limited,2875793
165,GODREJPROP,Godrej Properties Limited,2866540
166,M&MFIN,Mahindra & Mahindra Financial Services Limited,2862105
167,IDEA,Vodafone Idea Limited,2823422
